trajectory,g0,g1,sites,scaled_time,time,magnetization_z,magnetization_y,normalized_z,normalized_y
across,0.3,1.4,12,3.65,14.549070178719825,0.03734500063297496,0.0019034162299524423,0.998703634536347,0.05090236108365391
across,0.3,1.4,12,3.6666666666666665,14.615504289124937,0.03748850546996066,0.0011610551229734834,0.9995207444686142,0.030956120184984594
across,0.3,1.4,12,3.683333333333333,14.68193839953005,0.03755745434515421,0.00030571511091333957,0.9999668724026836,0.008139661982859996
across,0.3,1.4,12,3.6999999999999997,14.748372509935164,0.03754313979728801,-0.0006211669881896283,0.9998631526467201,-0.016543155060680742
across,0.3,1.4,12,3.716666666666667,14.81480662034028,0.037441417165256514,-0.001563542045829361,0.999129202819082,-0.041723327696933966
across,0.3,1.4,12,3.7333333333333334,14.881240730745391,0.037253848833370594,-0.002455761361831017,0.9978343540613072,-0.06577690974083607
across,0.3,1.4,12,3.75,14.947674841150505,0.03698828505255883,-0.0032295358722425793,0.9962099289249943,-0.08698147797811806
across,0.3,1.4,12,3.7666666666666666,15.014108951555619,0.03665874362060381,-0.003821880234087855,0.9946092874143369,-0.1036936130585931
across,0.3,1.4,12,3.783333333333333,15.080543061960732,0.036284546323220576,-0.004182971142773544,0.9934204885029796,-0.1145239408268045
across,0.3,1.4,12,3.8,15.146977172365844,0.03588876912065126,-0.0042828832660913325,0.9929544222837229,-0.1184968998210427
across,0.3,1.4,12,3.8166666666666664,15.213411282770958,0.0354961527264284,-0.004116331338669597,0.9933430612886892,-0.1151935874500631
across,0.3,1.4,12,3.8333333333333335,15.279845393176073,0.03513068944309942,-0.0037048157431390006,0.9944852510693512,-0.10487652456832107
across,0.3,1.4,12,3.85,15.346279503581185,0.03481314298867225,-0.00309590264037817,0.9960691045951803,-0.08857956237731093
across,0.3,1.4,12,3.8666666666666667,15.412713613986298,0.034558766566391085,-0.0023597240536512355,0.9976769391651229,-0.06812286736560258
across,0.3,1.4,12,3.8833333333333333,15.479147724391412,0.03437546076332461,-0.001583114025994817,0.9989412164641668,-0.046004848104203244
across,0.3,1.4,12,3.9,15.545581834796526,0.03426256107046953,-0.0008620652873163765,0.999683623268144,-0.025152601644273957
across,0.3,1.4,12,3.9166666666666665,15.612015945201637,0.034210372141452755,-0.00029336776444897894,0.9999632332503205,-0.008575088778831445
across,0.3,1.4,12,3.933333333333333,15.678450055606751,0.034200481721228915,3.364075372624306e-05,0.9999995162325117,0.0009836334390301482
across,0.3,1.4,12,3.9499999999999997,15.744884166011865,0.03420680175849382,4.432331987876783e-05,0.9999991605224615,0.0012957447171842232
across,0.3,1.4,12,3.966666666666667,15.81131827641698,0.03419720749654453,-0.00031575403327797956,0.9999573755525024,-0.00923293442801346
across,0.3,1.4,12,3.9833333333333334,15.877752386822092,0.03413558577792623,-0.0010775904804949535,0.9995021043492522,-0.031552232906983085
across,0.3,1.4,12,4.0,15.944186497227205,0.03398406750602294,-0.002248039808388746,0.9978192551997216,-0.06600556001332789
within,0.3,0.8,12,0.0,0.0,0.9882803811214889,0.0,1.0,0.0
within,0.3,0.8,12,0.011111111111111112,0.055555555555555566,0.9876710213854668,-0.027390166073015004,0.9996156876871517,-0.027721416445462867
within,0.3,0.8,12,0.022222222222222223,0.11111111111111113,0.9858511966460973,-0.05440955814625001,0.9984804782934986,-0.05510657371662957
within,0.3,0.8,12,0.03333333333333333,0.16666666666666669,0.9828454902544328,-0.08069548588114527,0.9966464171517903,-0.08182859633709712
within,0.3,0.8,12,0.044444444444444446,0.22222222222222227,0.9786942792775155,-0.10590120198644368,0.9941965768234658,-0.1075786532380026
within,0.3,0.8,12,0.05555555555555556,0.27777777777777785,0.9734528590469266,-0.1297033205121898,0.9912399549485162,-0.13207328160405374
within,0.3,0.8,12,0.06666666666666667,0.33333333333333337,0.9671902515873225,-0.1518085918536199,0.9879050615077326,-0.15505995436412068
within,0.3,0.8,12,0.07777777777777778,0.38888888888888895,0.9599877306268635,-0.17195985346614828,0.9843327724094997,-0.1763207110938137
within,0.3,0.8,12,0.08888888888888889,0.44444444444444453,0.9519371033574741,-0.18994100223704552,0.980669016846263,-0.19567391087670308
within,0.3,0.8,12,0.1,0.5000000000000001,0.9431387952724181,-0.20558086609908527,0.9770577873384475,-0.21297436512711349
within,0.3,0.8,12,0.11111111111111112,0.5555555555555557,0.9336997890774115,-0.21875588759173029,0.9736348413226853,-0.228112243780446
within,0.3,0.8,12,0.12222222222222223,0.6111111111111113,0.9237314717303815,-0.22939156935312371,0.9705223315937763,-0.24101121110392365
within,0.3,0.8,12,0.13333333333333333,0.6666666666666667,0.9133474450417294,-0.2374626695894886,0.9678244850989439,-0.2516262427549324
within,0.3,0.8,12,0.14444444444444446,0.7222222222222224,0.9026613549595109,-0.24299217305740245,0.9656243616014865,-0.2599415170412795
within,0.3,0.8,12,0.15555555555555556,0.7777777777777779,0.8917847927303103,-0.24604909871730402,0.9639816714469689,-0.2659686769420568
within,0.3,0.8,12,0.16666666666666669,0.8333333333333336,0.8808253176690691,-0.24674523780197632,0.9629316119889076,-0.26974564061805334
