scaled_time,time,work_density,rate,mean_work_density
1.0875000000000001,2.5464953400022634,0.275,0.05530222510658789,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.28,0.058844809116601365,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.28500000000000003,0.06247407835510865,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.29,0.0661885378078598,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.295,0.06998675799856735,0.1331123824635717
1.0875000000000001,2.5464953400022634,0.3,0.07386737243572547,0.1331123824635717
1.1,2.5757654013816,0.0,0.10505951991027926,0.13479677793219422
1.1,2.5757654013816,0.005,0.09040828501808681,0.13479677793219422
1.1,2.5757654013816,0.01,0.08002276706203289,0.13479677793219422
1.1,2.5757654013816,0.015,0.07125860842710761,0.13479677793219422
1.1,2.5757654013816,0.02,0.06356825529787805,0.13479677793219422
1.1,2.5757654013816,0.025,0.056693577755460356,0.13479677793219422
1.1,2.5757654013816,0.03,0.05048331194043408,0.13479677793219422
1.1,2.5757654013816,0.035,0.044837894992058105,0.13479677793219422
1.1,2.5757654013816,0.04,0.039686772311481266,0.13479677793219422
1.1,2.5757654013816,0.045,0.0349773011374034,0.13479677793219422
1.1,2.5757654013816,0.05,0.03066866708170011,0.13479677793219422
1.1,2.5757654013816,0.055,0.02672826693523922,0.13479677793219422
1.1,2.5757654013816,0.06,0.02312942079499193,0.13479677793219422
1.1,2.5757654013816,0.065,0.019849853450424913,0.13479677793219422
1.1,2.5757654013816,0.07,0.01687064641714299,0.13479677793219422
1.1,2.5757654013816,0.075,0.014175491310354435,0.13479677793219422
1.1,2.5757654013816,0.08,0.01175014361345271,0.13479677793219422
1.1,2.5757654013816,0.085,0.009582014085093751,0.13479677793219422
1.1,2.5757654013816,0.09,0.007659857381934691,0.13479677793219422
1.1,2.5757654013816,0.095,0.005973531052288712,0.13479677793219422
1.1,2.5757654013816,0.1,0.004513806588803418,0.13479677793219422
1.1,2.5757654013816,0.105,0.0032722197453862838,0.13479677793219422
1.1,2.5757654013816,0.11,0.0022409509797943483,0.13479677793219422
1.1,2.5757654013816,0.115,0.0014127293589745286,0.13479677793219422
1.1,2.5757654013816,0.12,0.0007807549728797471,0.13479677793219422
1.1,2.5757654013816,0.125,0.00033863610250548654,0.13479677793219422
1.1,2.5757654013816,0.13,8.033824491765484e-05,0.13479677793219422
1.1,2.5757654013816,0.135,1.4272053651534023e-07,0.13479677793219422
1.1,2.5757654013816,0.14,9.261304831687314e-05,0.13479677793219422
1.1,2.5757654013816,0.145,0.0003525676217392328,0.13479677793219422
1.1,2.5757654013816,0.15,0.0007750574862188369,0.13479677793219422
1.1,2.5757654013816,0.155,0.0013553482296612754,0.13479677793219422
1.1,2.5757654013816,0.16,0.002088905168234293,0.13479677793219422
1.1,2.5757654013816,0.165,0.002971381149756463,0.13479677793219422
1.1,2.5757654013816,0.17,0.00399860641471423,0.13479677793219422
1.1,2.5757654013816,0.17500000000000002,0.005166580054702108,0.13479677793219422
1.1,2.5757654013816,0.18,0.0064714626933299255,0.13479677793219422
1.1,2.5757654013816,0.185,0.007909570087577304,0.13479677793219422
1.1,2.5757654013816,0.19,0.009477367409797412,0.13479677793219422
1.1,2.5757654013816,0.195,0.011171464023269823,0.13479677793219422
1.1,2.5757654013816,0.2,0.012988608608380248,0.13479677793219422
1.1,2.5757654013816,0.20500000000000002,0.01492568453305268,0.13479677793219422
1.1,2.5757654013816,0.21,0.016979705390828673,0.13479677793219422
1.1,2.5757654013816,0.215,0.01914781065381005,0.13479677793219422
1.1,2.5757654013816,0.22,0.021427261406333567,0.13479677793219422
1.1,2.5757654013816,0.225,0.023815436139524138,0.13479677793219422
1.1,2.5757654013816,0.23,0.026309826597463504,0.13479677793219422
1.1,2.5757654013816,0.23500000000000001,0.028908033673298292,0.13479677793219422
1.1,2.5757654013816,0.24,0.031607763358768776,0.13479677793219422
1.1,2.5757654013816,0.245,0.03440682275388937,0.13479677793219422
1.1,2.5757654013816,0.25,0.03730311614530435,0.13479677793219422
1.1,2.5757654013816,0.255,0.04029464116253924,0.13479677793219422
1.1,2.5757654013816,0.26,0.043379485021274755,0.13479677793219422
1.1,2.5757654013816,0.265,0.04655582086215962,0.13479677793219422
1.1,2.5757654013816,0.27,0.04982190419267743,0.13479677793219422
1.1,2.5757654013816,0.275,0.05317606943844086,0.13479677793219422
1.1,2.5757654013816,0.28,0.05661672660900377,0.13479677793219422
1.1,2.5757654013816,0.28500000000000003,0.060142358082027086,0.13479677793219422
1.1,2.5757654013816,0.29,0.0637515155084181,0.13479677793219422
1.1,2.5757654013816,0.295,0.06744281683991904,0.13479677793219422
1.1,2.5757654013816,0.3,0.07121494347962004,0.13479677793219422
1.1125,2.6050354627609362,0.0,0.10798709699486166,0.13663729728383245
1.1125,2.6050354627609362,0.005,0.09312505059413421,0.13663729728383245
1.1125,2.6050354627609362,0.01,0.08255025231160894,0.13663729728383245
1.1125,2.6050354627609362,0.015,0.0736113716001962,0.13663729728383245
1.1125,2.6050354627609362,0.02,0.06575765890362328,0.13663729728383245
1.1125,2.6050354627609362,0.025,0.05872927319255607,0.13663729728383245
1.1125,2.6050354627609362,0.03,0.0523738564891333,0.13663729728383245
1.1125,2.6050354627609362,0.035,0.046591065224043694,0.13663729728383245
1.1125,2.6050354627609362,0.04,0.041309743313864604,0.13663729728383245
1.1125,2.6050354627609362,0.045,0.03647675383775479,0.13663729728383245
1.1125,2.6050354627609362,0.05,0.032050855739371394,0.13663729728383245
1.1125,2.6050354627609362,0.055,0.027999061458991316,0.13663729728383245
1.1125,2.6050354627609362,0.06,0.024294332812759084,0.13663729728383245
1.1125,2.6050354627609362,0.065,0.020914051499971754,0.13663729728383245
1.1125,2.6050354627609362,0.07,0.017838963765468244,0.13663729728383245
1.1125,2.6050354627609362,0.075,0.015052428837714613,0.13663729728383245
1.1125,2.6050354627609362,0.08,0.01253986954844831,0.13663729728383245
1.1125,2.6050354627609362,0.085,0.010288361962421076,0.13663729728383245
1.1125,2.6050354627609362,0.09,0.00828632331209199,0.13663729728383245
1.1125,2.6050354627609362,0.095,0.006523271184775796,0.13663729728383245
1.1125,2.6050354627609362,0.1,0.00498963548333967,0.13663729728383245
1.1125,2.6050354627609362,0.105,0.003676610219807065,0.13663729728383245
1.1125,2.6050354627609362,0.11,0.00257603586779789,0.13663729728383245
1.1125,2.6050354627609362,0.115,0.0016803054808496865,0.13663729728383245
1.1125,2.6050354627609362,0.12,0.0009822894966987402,0.13663729728383245
1.1125,2.6050354627609362,0.125,0.0004752753535539715,0.13663729728383245
1.1125,2.6050354627609362,0.13,0.0001529189102981634,0.13663729728383245
1.1125,2.6050354627609362,0.135,9.20529745302703e-06,0.13663729728383245
1.1125,2.6050354627609362,0.14,3.841730185696977e-05,0.13663729728383245
1.1125,2.6050354627609362,0.145,0.00023510975359145904,0.13663729728383245
1.1125,2.6050354627609362,0.15,0.0005940886711540746,0.13663729728383245
1.1125,2.6050354627609362,0.155,0.001110394151944031,0.13663729728383245
1.1125,2.6050354627609362,0.16,0.0017792861843416927,0.13663729728383245
1.1125,2.6050354627609362,0.165,0.002596232714734071,0.13663729728383245
1.1125,2.6050354627609362,0.17,0.003556899434282633,0.13663729728383245
1.1125,2.6050354627609362,0.17500000000000002,0.0046571408605037765,0.13663729728383245
1.1125,2.6050354627609362,0.18,0.005892992381012999,0.13663729728383245
1.1125,2.6050354627609362,0.185,0.00726066300347783,0.13663729728383245
1.1125,2.6050354627609362,0.19,0.00875652861890857,0.13663729728383245
1.1125,2.6050354627609362,0.195,0.010377125636602626,0.13663729728383245
1.1125,2.6050354627609362,0.2,0.012119144889931134,0.13663729728383245
1.1125,2.6050354627609362,0.20500000000000002,0.013979425744178361,0.13663729728383245
1.1125,2.6050354627609362,0.21,0.015954950362183293,0.13663729728383245
1.1125,2.6050354627609362,0.215,0.01804283810184923,0.13663729728383245
1.1125,2.6050354627609362,0.22,0.02024034003285019,0.13663729728383245
1.1125,2.6050354627609362,0.225,0.022544833569030004,0.13663729728383245
1.1125,2.6050354627609362,0.23,0.024953817219029964,0.13663729728383245
1.1125,2.6050354627609362,0.23500000000000001,0.027464905461250272,0.13663729728383245
1.1125,2.6050354627609362,0.24,0.03007582375105794,0.13663729728383245
