gamma_initial_prime,a_minus,role,provenance
1.1409429999999998,7.087128897072186,curve,supplement_eq_11
1.1509424999999998,7.060284234207417,curve,supplement_eq_11
1.160942,7.033252187096814,curve,supplement_eq_11
1.1709414999999999,7.006048106759076,curve,supplement_eq_11
1.1809409999999998,6.978686711346184,curve,supplement_eq_11
1.1909405,6.951182108884789,curve,supplement_eq_11
1.20094,6.923547819326157,curve,supplement_eq_11
1.2109394999999998,6.895796795915208,curve,supplement_eq_11
1.2209389999999998,6.867941445890265,curve,supplement_eq_11
1.2309385,6.839993650525688,curve,supplement_eq_11
1.2409379999999999,6.811964784530404,curve,supplement_eq_11
1.2509374999999998,6.783865734815702,curve,supplement_eq_11
1.2609369999999998,6.755706918646203,curve,supplement_eq_11
1.2709365,6.727498301188188,curve,supplement_eq_11
1.2809359999999999,6.69924941246976,curve,supplement_eq_11
1.2909354999999998,6.670969363767461,curve,supplement_eq_11
1.300935,6.642666863434125,curve,supplement_eq_11
1.3109345,6.614350232182776,curve,supplement_eq_11
1.3209339999999998,6.586027417841357,curve,supplement_eq_11
1.3309334999999998,6.557706009593138,curve,supplement_eq_11
1.340933,6.529393251717395,curve,supplement_eq_11
1.3509324999999999,6.50109605684504,curve,supplement_eq_11
1.3609319999999998,6.472821018743539,curve,supplement_eq_11
1.3709314999999997,6.444574424645399,curve,supplement_eq_11
1.380931,6.416362267134239,curve,supplement_eq_11
1.3909304999999998,6.38819025560228,curve,supplement_eq_11
1.4009299999999998,6.360063827292772,curve,supplement_eq_11
1.4109295,6.33198815794074,curve,supplement_eq_11
1.4209289999999999,6.3039681720249945,curve,supplement_eq_11
1.4309284999999998,6.2760085526442415,curve,supplement_eq_11
1.4409279999999998,6.248113751029724,curve,supplement_eq_11
1.4509275,6.220287995706549,curve,supplement_eq_11
1.4609269999999999,6.192535301315627,curve,supplement_eq_11
1.4709264999999998,6.164859477107707,curve,supplement_eq_11
1.4809259999999997,6.137264135120878,curve,supplement_eq_11
