k_over_pi,rho_band0,rho_band1,rho_band2
2.138888888888889339e-01,2.498863987893002736e-01,2.187942749756388305e-01,5.313193262350675017e-01
2.166666666666667018e-01,2.622429903509318483e-01,2.161011054933903441e-01,5.216559041556779741e-01
2.194444444444444975e-01,2.749201376982862710e-01,2.133444999547777221e-01,5.117353623469397261e-01
2.222222222222222654e-01,2.879167793870859859e-01,2.105220473464627651e-01,5.015611732664509992e-01
2.250000000000000611e-01,3.012315533279149027e-01,2.076324029428208151e-01,4.911360437292610626e-01
2.277777777777778290e-01,3.148627681201329742e-01,2.046753287874554794e-01,4.804619030924138223e-01
2.305555555555555691e-01,3.288083753615260174e-01,2.016517229587772853e-01,4.695399016796977243e-01
2.333333333333333925e-01,3.430659432855563962e-01,1.985636358831471271e-01,4.583704208313005291e-01
2.361111111111111327e-01,3.576326315740016026e-01,1.954142721390106641e-01,4.469530962869912583e-01
2.388888888888889561e-01,3.725051665139936241e-01,1.922079764679926750e-01,4.352868570180186691e-01
2.416666666666666963e-01,3.876798148027883473e-01,1.889502030726734338e-01,4.233699821245420769e-01
2.444444444444445197e-01,4.031523532458753944e-01,1.856474677281947094e-01,4.112001790259343093e-01
2.472222222222222598e-01,4.189180303441190079e-01,1.823072827513779470e-01,3.987746869045072917e-01
2.500000000000000555e-01,4.349715143317735011e-01,1.789380754357484116e-01,3.860904102324821396e-01
2.527777777777778234e-01,4.513068206250998582e-01,1.755490911469512749e-01,3.731440882279520865e-01
2.555555555555555358e-01,4.679172098968429339e-01,1.721502828494018422e-01,3.599325072537500336e-01
