series,t1,E,root_index,beta_real,beta_imag,abs_beta
transition,1.2018504251546631,1.3327655310621243,1,-0.059869947187533634,-0.5318244492058446,0.5351837584879964
transition,1.2018504251546631,1.3374749498997998,1,-0.05650490416030935,-0.5321924944558803,0.5351837584879963
transition,1.2018504251546631,1.342184368737475,1,-0.05312799149277744,-0.5325402068100411,0.5351837584879964
transition,1.2018504251546631,1.3468937875751503,1,-0.049739209184937905,-0.5328674004093279,0.5351837584879964
transition,1.2018504251546631,1.3516032064128256,1,-0.04633855723679074,-0.5331738867035319,0.5351837584879964
transition,1.2018504251546631,1.3563126252505011,1,-0.04292603564833571,-0.5334594743866266,0.5351837584879964
transition,1.2018504251546631,1.3610220440881764,1,-0.039501644419573184,-0.5337239693301095,0.5351837584879964
transition,1.2018504251546631,1.3657314629258517,1,-0.0360653835505029,-0.533967174514214,0.5351837584879964
transition,1.2018504251546631,1.3704408817635272,1,-0.03261725304112487,-0.5341888899569041,0.5351837584879965
transition,1.2018504251546631,1.3751503006012025,1,-0.029157252891439344,-0.5343889126405624,0.5351837584879964
transition,1.2018504251546631,1.3798597194388778,1,-0.025685383101446066,-0.5345670364362827,0.5351837584879964
transition,1.2018504251546631,1.3845691382765533,1,-0.022201643671145042,-0.5347230520256608,0.5351837584879965
transition,1.2018504251546631,1.3892785571142285,1,-0.018706034600536513,-0.5348567468199887,0.5351837584879964
transition,1.2018504251546631,1.3939879759519038,1,-0.015198555889620236,-0.5349679048767394,0.5351837584879964
transition,1.2018504251546631,1.398697394789579,1,-0.011679207538396451,-0.5350563068132298,0.5351837584879964
transition,1.2018504251546631,1.4034068136272546,1,-0.008147989546864685,-0.5351217297173441,0.5351837584879964
transition,1.2018504251546631,1.40811623246493,1,-0.00460490191502541,-0.5351639470551908,0.5351837584879964
transition,1.2018504251546631,1.4128256513026052,1,-0.0010499446428785095,-0.5351827285755631,0.5351837584879964
transition,1.2018504251546631,1.4175350701402807,1,0.0025168822695761364,0.535177840211064,0.5351837584879964
transition,1.2018504251546631,1.422244488977956,1,0.006095578822338409,0.5351490439757495,0.5351837584879963
transition,1.2018504251546631,1.4269539078156313,1,0.009686145015408426,0.5350960978591401,0.5351837584879964
