curve,t1,theta,beta_real,beta_imag,abs_beta
C_beta,1.0,1.6626813486965477,-0.04103443278164552,0.4453270431113393,0.447213595499958
C_beta,1.0,1.6801832576301956,-0.048821823624697065,0.44454069503022897,0.44721359549995804
C_beta,1.0,1.6976851665638435,-0.05659425990391092,0.4436181801345935,0.447213595499958
C_beta,1.0,1.7151870754974914,-0.06434936085212431,0.4425597809990455,0.44721359549995804
C_beta,1.0,1.7326889844311393,-0.07208475101214235,0.441365821820763,0.44721359549995804
C_beta,1.0,1.7501908933647872,-0.07979806096436187,0.44003666832018445,0.447213595499958
C_beta,1.0,1.767692802298435,-0.08748692805254607,0.4385727276289859,0.447213595499958
C_beta,1.0,1.7851947112320827,-0.09514899710752718,0.4369744481653725,0.447213595499958
C_beta,1.0,1.8026966201657306,-0.10278192116861641,0.435242319496724,0.447213595499958
C_beta,1.0,1.8201985290993785,-0.11038336220249853,0.43337687218963594,0.447213595499958
C_beta,1.0,1.8377004380330264,-0.11795099181939293,0.43137867764740245,0.447213595499958
C_beta,1.0,1.8552023469666743,-0.1254824919862602,0.42924834793498995,0.44721359549995804
C_beta,1.0,1.8727042559003222,-0.1329755557368365,0.42698653559155647,0.447213595499958
C_beta,1.0,1.89020616483397,-0.14042788787827823,0.4245939334305729,0.447213595499958
C_beta,1.0,1.907708073767618,-0.14783720569420006,0.4220712743276078,0.4472135954999579
C_beta,1.0,1.9252099827012659,-0.1552012396438916,0.4194193309958416,0.4472135954999579
C_beta,1.0,1.9427118916349138,-0.16251773405749811,0.41663891574937684,0.4472135954999579
C_beta,1.0,1.9602138005685616,-0.16978444782695248,0.4137308802544196,0.447213595499958
C_beta,1.0,1.9777157095022093,-0.17699915509244668,0.41069611526840627,0.44721359549995804
C_beta,1.0,1.9952176184358572,-0.18415964592423306,0.4075355503671565,0.447213595499958
C_beta,1.0,2.012719527369505,-0.19126372699954516,0.40425015366013595,0.44721359549995804
C_beta,1.0,2.030221436303153,-0.19830922227443257,0.4008409314939153,0.4472135954999579
C_beta,1.0,2.047723345236801,-0.20529397365030236,0.397308928143918,0.447213595499958
C_beta,1.0,2.0652252541704486,-0.21221584163496485,0.3936552254945482,0.447213595499958
C_beta,1.0,2.0827271631040967,-0.21907270599797876,0.3898809427078005,0.447213595499958
C_beta,1.0,2.1002290720377443,-0.2258624664200966,0.3859872358804508,0.447213595499958
C_beta,1.0,2.1177309809713925,-0.23258304313661232,0.38197529768993277,0.4472135954999579
C_beta,1.0,2.13523288990504,-0.23923237757441074,0.3778463570290107,0.447213595499958
C_beta,1.0,2.1527347988386882,-0.24580843298252822,0.37360167862935784,0.447213595499958
C_beta,1.0,2.170236707772336,-0.2523091950560266,0.3692425626741586,0.447213595499958
C_beta,1.0,2.187738616705984,-0.25873267255299426,0.3647703443998499,0.44721359549995804
C_beta,1.0,2.2052405256396317,-0.26507689790447997,0.3601863936871269,0.44721359549995804
C_beta,1.0,2.22274243457328,-0.27133992781717836,0.3554921146413356,0.44721359549995804
C_beta,1.0,2.2402443435069275,-0.27751984386867695,0.35068894516238347,0.447213595499958
C_beta,1.0,2.257746252440575,-0.2836147530950872,0.34577835650429706,0.447213595499958
C_beta,1.0,2.2752481613742233,-0.28962278857087587,0.34076185282456395,0.447213595499958
C_beta,1.0,2.292750070307871,-0.2955421099807206,0.33564097072339616,0.447213595499958
C_beta,1.0,2.310251979241519,-0.3013709041832165,0.33041727877305477,0.447213595499958
