panel,kind,depth,L,p,scaled_x,I3,standard_error
d,collapse,1,8,0.29000000000000004,0.5000166302104194,0.0,0.35355339059327373
a,scan,1,12,0.010000000000000009,,-47.20833333333333,0.6265852910690827
d,collapse,1,12,0.010000000000000009,-0.686475952093141,-47.20833333333333,0.6265852910690827
a,scan,1,12,0.02750000000000001,,-38.041666666666664,0.5719553623386497
d,collapse,1,12,0.02750000000000001,-0.6032667457788209,-38.041666666666664,0.5719553623386497
a,scan,1,12,0.04500000000000001,,-30.375,0.6826579124252681
d,collapse,1,12,0.04500000000000001,-0.5200575394645008,-30.375,0.6826579124252681
a,scan,1,12,0.06250000000000001,,-23.791666666666668,0.6574889099191457
d,collapse,1,12,0.06250000000000001,-0.43684833315018073,-23.791666666666668,0.6574889099191457
a,scan,1,12,0.08000000000000002,,-16.833333333333336,0.9860132971832691
d,collapse,1,12,0.08000000000000002,-0.35363912683586063,-16.833333333333336,0.9860132971832691
a,scan,1,12,0.09750000000000002,,-13.166666666666668,0.4838667007833708
d,collapse,1,12,0.09750000000000002,-0.27042992052154047,-13.166666666666668,0.4838667007833708
a,scan,1,12,0.11500000000000002,,-7.166666666666667,0.8380817098475258
d,collapse,1,12,0.11500000000000002,-0.18722071420722036,-7.166666666666667,0.8380817098475258
a,scan,1,12,0.1325,,-3.6249999999999996,0.6344523322557509
d,collapse,1,12,0.1325,-0.1040115078929003,-3.6249999999999996,0.6344523322557509
a,scan,1,12,0.15000000000000002,,-1.3333333333333335,0.35355339059327373
d,collapse,1,12,0.15000000000000002,-0.020802301578580113,-1.3333333333333335,0.35355339059327373
a,scan,1,12,0.16750000000000004,,-0.041666666666666664,0.35355339059327373
d,collapse,1,12,0.16750000000000004,0.06240690473574007,-0.041666666666666664,0.35355339059327373
a,scan,1,12,0.18500000000000003,,0.0,0.35355339059327373
d,collapse,1,12,0.18500000000000003,0.14561611105006014,0.0,0.35355339059327373
a,scan,1,12,0.2025,,0.0,0.35355339059327373
d,collapse,1,12,0.2025,0.2288253173643802,0.0,0.35355339059327373
a,scan,1,12,0.22000000000000003,,0.0,0.35355339059327373
d,collapse,1,12,0.22000000000000003,0.3120345236787004,0.0,0.35355339059327373
a,scan,1,12,0.23750000000000002,,0.0,0.35355339059327373
d,collapse,1,12,0.23750000000000002,0.39524372999302043,0.0,0.35355339059327373
a,scan,1,12,0.255,,0.0,0.35355339059327373
d,collapse,1,12,0.255,0.4784529363073405,0.0,0.35355339059327373
a,scan,1,12,0.2725,,0.0,0.35355339059327373
d,collapse,1,12,0.2725,0.5616621426216607,0.0,0.35355339059327373
a,scan,1,12,0.29000000000000004,,0.0,0.35355339059327373
d,collapse,1,12,0.29000000000000004,0.6448713489359809,0.0,0.35355339059327373
a,scan,1,16,0.010000000000000009,,-43.41666666666667,1.2594878021678197
d,collapse,1,16,0.010000000000000009,-0.8222772236685056,-43.41666666666667,1.2594878021678197
a,scan,1,16,0.02750000000000001,,-42.5,0.7042952122737641
d,collapse,1,16,0.02750000000000001,-0.7226072571632322,-42.5,0.7042952122737641
a,scan,1,16,0.04500000000000001,,-34.041666666666664,1.03209891706327
d,collapse,1,16,0.04500000000000001,-0.6229372906579589,-34.041666666666664,1.03209891706327
a,scan,1,16,0.06250000000000001,,-29.0,0.9799578870122226
d,collapse,1,16,0.06250000000000001,-0.5232673241526854,-29.0,0.9799578870122226
a,scan,1,16,0.08000000000000002,,-20.708333333333336,1.1009330458427393
d,collapse,1,16,0.08000000000000002,-0.423597357647412,-20.708333333333336,1.1009330458427393
a,scan,1,16,0.09750000000000002,,-14.666666666666666,0.9511897312113416
d,collapse,1,16,0.09750000000000002,-0.32392739114213864,-14.666666666666666,0.9511897312113416
a,scan,1,16,0.11500000000000002,,-7.041666666666667,0.6649904522527385
d,collapse,1,16,0.11500000000000002,-0.22425742463686524,-7.041666666666667,0.6649904522527385
a,scan,1,16,0.1325,,-2.9166666666666665,0.8110105395357665
