L,p,gamma,ell,chord_length,entropy,entropy_sem,correlation_positive,correlation_positive_sem,correlation_connected,trajectories,samples_per_trajectory,max_invariant_residual,stationary_relative_drift
24,1.4,1.5,8.0,6.615946745061504,2.033372169152031,0.08141348459973059,0.003821897579761722,0.0002482494768473842,-0.003821897579761722,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,9.0,7.057919732188834,2.1256778476899223,0.09076581965428532,0.0034843871808979015,0.0003692440499012643,-0.0034843871808979015,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,10.0,7.379129755873375,2.193971144343727,0.07542319023137628,0.0034802481249470887,0.00029324644962862415,-0.0034802481249470887,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,11.0,7.574080823553641,2.2131881701276814,0.07187965095621825,0.0030995910835846284,0.0001275711108312829,-0.0030995910835846284,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,1.5,12.0,7.639437268410976,2.220416569320561,0.08029750260112313,0.0031913941117749926,0.0003106032856731937,-0.0031913941117749926,4,5,3.552713678800501e-15,0.13136492567749078
24,1.4,2.0,1.0,0.9971466573496368,0.4239142992170017,0.014191918913902589,0.02340233188881152,0.0016517722172367968,-0.02340233188881152,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,2.0,1.9772318589307383,0.7972253449111495,0.018403890752683956,0.01181238188498375,0.0007722974263818035,-0.01181238188498375,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,3.0,2.923486075213298,1.0807635402233453,0.02563380098187048,0.008788136570698836,0.00040713837605468276,-0.008788136570698836,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,4.0,3.8197186342054876,1.2537814068458482,0.04664092381689058,0.0060319732930504705,0.00039855486389802887,-0.0060319732930504705,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,5.0,4.650594748340343,1.4477743041998683,0.033632998684471574,0.004790776395612661,0.00014495142087185748,-0.004790776395612661,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,6.0,5.401897896942636,1.6004355937709183,0.030741646048987173,0.0038827669825401223,0.00022533941620934636,-0.0038827669825401223,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,7.0,6.060773074839197,1.7257058122051718,0.0209575392954156,0.0031663670787869577,7.377636807398846e-05,-0.0031663670787869577,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,8.0,6.615946745061504,1.8273616727723525,0.045914092270787785,0.0034499347887008056,8.899343340330597e-05,-0.0034499347887008056,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,9.0,7.057919732188834,1.8797962765503928,0.04614407710002257,0.003141450792401447,0.00021390123067740219,-0.003141450792401447,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,10.0,7.379129755873375,1.9284113007364125,0.05223030858775261,0.0024462156229513215,0.00015532900979870374,-0.0024462156229513215,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,11.0,7.574080823553641,1.9647265193045835,0.08064771014305028,0.0030325686106439376,0.0003139967951959141,-0.0030325686106439376,4,5,3.552713678800501e-15,0.22753680656463607
24,1.4,2.0,12.0,7.639437268410976,1.9942309667553755,0.07088382403249073,0.0025803346741651353,0.00017802896070007328,-0.0025803346741651353,4,5,3.552713678800501e-15,0.22753680656463607
24,1.6,0.3,1.0,0.9971466573496368,0.6216232027534341,0.008206055548888572,0.017971371673110366,0.0012313590754519097,-0.017971371673110366,4,5,3.552713678800501e-15,0.047261699481392166
