energy,z2_overlap_sq,is_tower_state
-6.3476088468,2.076e-09,0
-6.3461661190,7.726e-08,0
-6.3448040018,8.680e-08,0
-6.3436993563,1.793e-09,0
-6.3406399341,1.741e-08,0
-6.3389851616,1.689e-09,0
-6.3377809692,2.203e-12,0
-6.3348358760,1.343e-11,0
-6.3345292931,9.870e-10,0
-6.3335787274,1.345e-08,0
-6.3301103460,3.278e-10,0
-6.3289130287,2.379e-09,0
-6.3218649390,3.139e-08,0
-6.3202676162,1.033e-06,0
-6.3132632683,1.225e-09,0
-6.3125017384,1.589e-11,0
-6.3107912209,1.441e-10,0
-6.3099216021,1.086e-09,0
-6.3061006355,6.092e-09,0
-6.3037078554,4.254e-09,0
-6.3015110710,1.765e-08,0
-6.2947144980,1.158e-09,0
-6.2945166976,6.805e-10,0
-6.2883681698,2.428e-10,0
-6.2842247032,1.314e-08,0
-6.2837831043,1.057e-08,0
-6.2780143951,5.562e-14,0
-6.2695670967,1.638e-09,0
-6.2670201397,1.491e-09,0
-6.2653726180,1.093e-08,0
-6.2642770114,2.329e-08,0
-6.2623235825,1.759e-09,0
-6.2596186714,1.004e-09,0
-6.2590285299,1.684e-08,0
-6.2583952065,3.737e-08,0
-6.2532606668,8.125e-10,0
-6.2493882933,1.683e-10,0
-6.2463277589,2.987e-11,0
-6.2445609140,4.353e-10,0
-6.2426518956,4.247e-11,0
-6.2404164273,3.676e-08,0
-6.2383790811,2.006e-09,0
-6.2349576647,9.544e-08,0
-6.2312580851,1.630e-09,0
-6.2294291440,4.001e-11,0
-6.2285772803,7.739e-11,0
-6.2215627275,2.680e-11,0
-6.2204151612,4.297e-13,0
-6.2157982458,8.843e-11,0
-6.2131454383,5.931e-10,0
-6.2126639452,3.663e-10,0
-6.2100604482,9.716e-10,0
-6.2085782939,2.923e-09,0
-6.2081931869,1.029e-11,0
-6.2074233326,5.385e-10,0
-6.2019739936,2.861e-10,0
-6.1984551947,3.640e-10,0
-6.1959097937,1.057e-08,0
-6.1938894054,4.960e-09,0
-6.1917644415,3.626e-10,0
-6.1842499757,1.329e-08,0
-6.1836519518,6.562e-11,0
-6.1804117282,8.903e-09,0
-6.1782185139,2.521e-10,0
-6.1748980951,6.660e-09,0
-6.1697561788,5.162e-09,0
-6.1650439476,2.703e-10,0
-6.1605858548,4.062e-09,0
-6.1603137412,6.374e-08,0
-6.1584851655,3.940e-08,0
