flux_over_h_over_e,angular_level,right_down_energy_over_half_gap,left_up_energy_over_half_gap
0.04,8,2.5258404934861933,-2.5258404934861933
0.05,-8,-2.4975661596038856,2.4975661596038856
0.05,-7,-2.1834068942449063,2.1834068942449063
0.05,-6,-1.869247628885927,1.869247628885927
0.05,-5,-1.5550883635269477,1.5550883635269477
0.05,-4,-1.2409290981679684,1.2409290981679684
0.05,-3,-0.9267698328089891,0.9267698328089891
0.05,-2,-0.6126105674500096,0.6126105674500096
0.05,-1,-0.2984513020910303,0.2984513020910303
0.05,0,0.015707963267948967,-0.015707963267948967
0.05,1,0.3298672286269283,-0.3298672286269283
0.05,2,0.6440264939859075,-0.6440264939859075
0.05,3,0.9581857593448868,-0.9581857593448868
0.05,4,1.2723450247038661,-1.2723450247038661
0.05,5,1.5865042900628454,-1.5865042900628454
0.05,6,1.9006635554218247,-1.9006635554218247
0.05,7,2.214822820780804,-2.214822820780804
0.05,8,2.528982086139784,-2.528982086139784
0.06,-8,-2.494424566950296,2.494424566950296
0.06,-7,-2.1802653015913167,2.1802653015913167
0.06,-6,-1.8661060362323372,1.8661060362323372
0.06,-5,-1.5519467708733579,1.5519467708733579
0.06,-4,-1.2377875055143785,1.2377875055143785
0.06,-3,-0.9236282401553991,0.9236282401553991
0.06,-2,-0.6094689747964198,0.6094689747964198
0.06,-1,-0.29530970943744056,0.29530970943744056
0.06,0,0.01884955592153876,-0.01884955592153876
0.06,1,0.33300882128051806,-0.33300882128051806
0.06,2,0.6471680866394974,-0.6471680866394974
0.06,3,0.9613273519984767,-0.9613273519984767
0.06,4,1.275486617357456,-1.275486617357456
0.06,5,1.5896458827164353,-1.5896458827164353
0.06,6,1.9038051480754146,-1.9038051480754146
0.06,7,2.2179644134343937,-2.2179644134343937
0.06,8,2.5321236787933734,-2.5321236787933734
0.07,-8,-2.491282974296706,2.491282974296706
0.07,-7,-2.1771237089377267,2.1771237089377267
0.07,-6,-1.8629644435787471,1.8629644435787471
0.07,-5,-1.5488051782197678,1.5488051782197678
0.07,-4,-1.2346459128607887,1.2346459128607887
0.07,-3,-0.9204866475018094,0.9204866475018094
0.07,-2,-0.6063273821428301,0.6063273821428301
0.07,-1,-0.29216811678385074,0.29216811678385074
0.07,0,0.021991148575128554,-0.021991148575128554
0.07,1,0.3361504139341079,-0.3361504139341079
0.07,2,0.6503096792930871,-0.6503096792930871
0.07,3,0.9644689446520665,-0.9644689446520665
0.07,4,1.278628210011046,-1.278628210011046
0.07,5,1.5927874753700253,-1.5927874753700253
0.07,6,1.9069467407290046,-1.9069467407290046
0.07,7,2.2211060060879837,-2.2211060060879837
0.07,8,2.535265271446963,-2.535265271446963
0.08,-8,-2.488141381643116,2.488141381643116
0.08,-7,-2.1739821162841366,2.1739821162841366
0.08,-6,-1.8598228509251575,1.8598228509251575
0.08,-5,-1.5456635855661782,1.5456635855661782
0.08,-4,-1.231504320207199,1.231504320207199
0.08,-3,-0.9173450548482196,0.9173450548482196
0.08,-2,-0.6031857894892403,0.6031857894892403
0.08,-1,-0.289026524130261,0.289026524130261
0.08,0,0.025132741228718346,-0.025132741228718346
0.08,1,0.3392920065876977,-0.3392920065876977
0.08,2,0.653451271946677,-0.653451271946677
0.08,3,0.9676105373056563,-0.9676105373056563
0.08,4,1.2817698026646356,-1.2817698026646356
0.08,5,1.595929068023615,-1.595929068023615
0.08,6,1.9100883333825942,-1.9100883333825942
0.08,7,2.2242475987415737,-2.2242475987415737
0.08,8,2.538406864100553,-2.538406864100553
0.09,-8,-2.4849997889895263,2.4849997889895263
0.09,-7,-2.170840523630547,2.170840523630547
0.09,-6,-1.8566812582715677,1.8566812582715677
0.09,-5,-1.5425219929125884,1.5425219929125884
0.09,-4,-1.228362727553609,1.228362727553609
0.09,-3,-0.9142034621946299,0.9142034621946299
0.09,-2,-0.6000441968356505,0.6000441968356505
0.09,-1,-0.28588493147667116,0.28588493147667116
0.09,0,0.02827433388230814,-0.02827433388230814
0.09,1,0.34243359924128747,-0.34243359924128747
0.09,2,0.6565928646002667,-0.6565928646002667
