group,real_energy,imag_energy,theory_density,ed_density,gamma_ess,state_code
figs2,6.5,-0.5133333333333334,-0.2571436611068577,0.0,0.7444689354304053,1
figs2,-0.5,-0.49500000000000005,-0.22956352405735483,0.0009807314903391689,-0.6017471412942822,-1
figs2,-0.4125,-0.49500000000000005,-0.058436491906537255,0.0005948437178363703,-0.5508645942834234,-1
figs2,-0.325,-0.49500000000000005,-0.018979906703018978,0.00013272757402411672,-0.5056797197206329,-1
figs2,-0.23750000000000004,-0.49500000000000005,-0.06946050959297374,1.0894942731123046e-05,-0.4677856373554738,-1
figs2,-0.15000000000000002,-0.49500000000000005,-0.07759532357926284,3.289987630159245e-07,-0.43523509433386776,-1
figs2,-0.0625,-0.49500000000000005,-0.07111238803947037,0.0,-0.4066424236594861,-1
figs2,0.02499999999999991,-0.49500000000000005,-0.06487492651407731,0.0,-0.38109261539211,-1
figs2,0.11249999999999993,-0.49500000000000005,-0.060214862333774266,0.0,-0.35799114639943447,-1
figs2,0.19999999999999996,-0.49500000000000005,-0.0567618151010198,0.0,-0.33697070733484824,-1
figs2,0.2875,-0.49500000000000005,-0.05430506822921578,0.0,-0.31784008799961033,-1
figs2,0.375,-0.49500000000000005,-0.05296320793195909,0.0,-0.30056440902811093,-1
figs2,0.4624999999999999,-0.49500000000000005,-0.053024870197212075,0.0,-0.2852737044374888,-1
figs2,0.5499999999999998,-0.49500000000000005,-0.04847816906848694,5.116857644616845e-07,-0.27231055498460843,-1
figs2,0.6375,-0.49500000000000005,0.0038369540671335184,1.6944705350977664e-05,-0.2623655247261396,-1
figs2,0.7249999999999999,-0.49500000000000005,0.1916354090494738,0.00020642877060418524,-0.25689601331764567,-1
figs2,0.8125,-0.49500000000000005,0.4669777110954167,0.0009251495650201004,-0.25998068078371295,-1
figs2,0.8999999999999999,-0.49500000000000005,0.5344154666399394,0.001525313766427611,-0.25289774832600476,-1
figs2,0.9874999999999998,-0.49500000000000005,0.2972961803327684,0.0009251495650201004,-0.20862854833554278,-1
figs2,1.075,-0.49500000000000005,0.05386478116328929,0.00020642877060418524,-0.1745598928893135,-1
figs2,1.1624999999999999,-0.49500000000000005,-0.03303389221922496,1.6944705350977664e-05,-0.14545923134447056,-1
figs2,1.25,-0.49500000000000005,-0.04115128249352491,5.116857644616845e-07,-0.11949674485069056,-1
