time,exact_dirichlet_energy,small_q_dirichlet_energy,exact_chern_solid_angle,small_q_chern_solid_angle,exact_chern_mesh_integral,small_q_chern_mesh_integral,exact_centered_dirichlet_energy,small_q_centered_dirichlet_energy,exact_centered_chern_mesh_integral,small_q_centered_chern_mesh_integral,exact_opposite_curvature_fraction,small_q_opposite_curvature_fraction,exact_max_norm_error,small_q_max_norm_error
4.88,2.9592610984519685,4.986883958682482,1.0000000000000002,1.0,0.812701406798221,1.0,1.6707701276384481,4.9828232709612985,0.45643568096764114,0.9991610276781284,0.3517428700769579,0.32236809013631107,2.220446049250313e-16,2.220446049250313e-16
4.92,2.9169351777446173,4.98383149588867,1.0000000000000007,1.0,0.7793394315453808,1.0,1.598046911286897,4.979779624238488,0.4272237154853055,0.9991626596098113,0.3539560384286505,0.32196569589054874,2.220446049250313e-16,2.220446049250313e-16
4.96,2.86842700611086,4.980795806256629,0.9999999999999999,1.0,0.7432707822106851,1.0000000000000002,1.525109419973427,4.976752657729273,0.3980504777070212,0.9991642719602725,0.35435843267441275,0.32156330164478647,2.220446049250313e-16,2.220446049250313e-16
5.0,2.8135711399793237,4.9777766836399815,1.0000000000000009,1.0000000000000002,0.7048482734045847,1.0,1.4522589385480107,4.9737421667346124,0.369120738465865,0.9991658650082068,0.35576681253458076,0.3211609073990242,2.220446049250313e-16,2.220446049250313e-16
5.04,2.7523314415372675,4.974773925355441,-8.834874115176435e-16,1.0000000000000002,0.6645007833625695,1.0,1.3797987185140441,4.970747949986267,0.3406411938651495,0.9991674390262913,0.0,0.3203561189074996,2.220446049250313e-16,2.220446049250313e-16
5.08,2.68480878264777,4.97178733210559,-4.947529504498804e-16,1.0000000000000002,0.6227158212004146,1.0000000000000002,1.3080289036141197,4.967769809570503,0.3128143526416226,0.9991689942813561,0.0,0.3203561189074996,2.220446049250313e-16,2.220446049250313e-16
5.12,2.6112424806120536,4.968816707903973,1.9436723053388158e-16,1.0,0.5800190035899129,1.0,1.2372414352145875,4.964807550854091,0.2858324007713223,0.9991705310345533,0.0,0.3191489361702128,2.220446049250313e-16,2.220446049250313e-16
5.16,2.5320053699309564,4.965861860002432,-5.300924469105861e-17,1.0,0.5369519919095375,1.0,1.167715136497827,4.9618609824125235,0.2598714354349648,0.9991720495415168,0.0,0.3185453448015693,2.220446049250313e-16,2.220446049250313e-16
5.2,2.4475928874085895,4.962922598820599,5.300924469105861e-17,1.0000000000000002,0.49405050260824174,1.0,1.0997111674957214,4.958929915960347,0.235086432551242,0.9991735500525186,0.0,0.3183441476786882,2.220446049250313e-16,2.220446049250313e-16
5.24,2.358606970362355,4.959998737877455,-1.4135798584282297e-16,0.9999999999999999,0.451823897211354,1.0,1.0334690222568261,4.956014166283521,0.21160724746044335,0.99917503281262,0.0,0.3183441476786882,2.220446049250313e-16,2.220446049250313e-16
5.28,2.2657358982974793,4.957090093724877,-7.067899292141149e-17,1.0,0.41073760876703047,1.0,0.9692032071332302,4.953113551173766,0.18953585601720735,0.9991764980618164,0.0,0.31814295055580705,2.220446049250313e-16,2.220446049250313e-16
5.32,2.169731419820155,4.95419648588311,3.533949646070574e-17,1.0,0.37119931069846734,1.0,0.9071006986149578,4.950227891364784,0.1689449357714621,0.999177946035178,0.0,0.3173381620642825,2.220446049250313e-16,2.220446049250313e-16
5.36,2.0713845878095927,4.951317736778083,-3.533949646070574e-17,1.0,0.3335493333908334,1.0,0.8473192342752373,4.947357010470306,0.14987777770665794,0.9991793769629855,0.0,0.3165333735727579,2.220446049250313e-16,2.220446049250313e-16
