generator,instance,phase_index,eigenphase
qr_haar,12,3,0.6732000160774738
qr_haar,12,4,0.9375962618970829
qr_haar,12,5,1.2458875143117487
qr_haar,12,6,1.5268340131004197
qr_haar,12,7,1.6874649168221625
qr_haar,12,8,1.8402795020002571
qr_haar,12,9,2.0513194371975443
qr_haar,12,10,2.2425932361469627
qr_haar,12,11,2.4483460295055606
qr_haar,12,12,2.5887742709920705
qr_haar,12,13,2.7492017944400478
qr_haar,12,14,3.1170125219493867
qr_haar,12,15,3.2348596708836577
qr_haar,12,16,3.427111323507377
qr_haar,12,17,3.5464841667735487
qr_haar,12,18,3.783524263721587
qr_haar,12,19,3.9988847019564107
qr_haar,12,20,4.120367600011362
qr_haar,12,21,4.325941042135119
qr_haar,12,22,4.534121506231935
qr_haar,12,23,4.72192401443617
qr_haar,12,24,4.861193477691724
qr_haar,12,25,5.000242699489091
qr_haar,12,26,5.252249265559772
qr_haar,12,27,5.4705903317319295
qr_haar,12,28,5.614730425359998
qr_haar,12,29,5.864895855133462
qr_haar,12,30,6.143743420812006
qr_haar,12,31,6.237410653239051
qr_haar,13,0,0.34558557165872367
qr_haar,13,1,0.5522178622564694
qr_haar,13,2,0.6649550387057241
qr_haar,13,3,0.8737577334431426
qr_haar,13,4,1.0074773058516173
qr_haar,13,5,1.2220121535560553
qr_haar,13,6,1.6738444980218865
qr_haar,13,7,1.8045672951795415
qr_haar,13,8,1.8772831731127952
qr_haar,13,9,1.988045298315237
qr_haar,13,10,2.2549940196169134
qr_haar,13,11,2.6481610525870227
qr_haar,13,12,2.7778895893767332
qr_haar,13,13,3.038016320562252
qr_haar,13,14,3.0792737380419384
qr_haar,13,15,3.358859192481983
qr_haar,13,16,3.647103313155363
qr_haar,13,17,3.870033018082468
qr_haar,13,18,4.000333264236014
qr_haar,13,19,4.092674229378488
qr_haar,13,20,4.236429997592468
qr_haar,13,21,4.423086735859492
qr_haar,13,22,4.893046293167853
qr_haar,13,23,5.029054033575892
qr_haar,13,24,5.0783982483753825
qr_haar,13,25,5.359581686047237
qr_haar,13,26,5.521976308796513
qr_haar,13,27,5.607445939825666
qr_haar,13,28,5.82072909184754
qr_haar,13,29,5.949598428497117
qr_haar,13,30,6.120762746108168
qr_haar,13,31,6.277545527348156
qr_haar,14,0,0.23889302581889044
qr_haar,14,1,0.47157693197296235
qr_haar,14,2,0.5971053635283481
qr_haar,14,3,0.8268859565930329
qr_haar,14,4,1.0235594500800345
qr_haar,14,5,1.186283526433248
qr_haar,14,6,1.4269662012717828
qr_haar,14,7,1.5930730393793697
qr_haar,14,8,1.8839194359910014
qr_haar,14,9,2.0260704576561697
qr_haar,14,10,2.218464332645116
qr_haar,14,11,2.3460098237301468
qr_haar,14,12,2.581087973173247
qr_haar,14,13,2.7728085999167718
qr_haar,14,14,3.021573371362932
qr_haar,14,15,3.193681899724299
qr_haar,14,16,3.380459556796196
qr_haar,14,17,3.4738847327269133
qr_haar,14,18,3.6034294034377092
qr_haar,14,19,3.986467195086092
qr_haar,14,20,4.091845944705989
qr_haar,14,21,4.334140626099796
qr_haar,14,22,4.455319811616876
qr_haar,14,23,4.718802905174311
qr_haar,14,24,4.865581580848913
qr_haar,14,25,4.961495757650436
qr_haar,14,26,5.302430930741611
qr_haar,14,27,5.599283889094045
qr_haar,14,28,5.756212723992332
qr_haar,14,29,5.854825979658532
qr_haar,14,30,6.106950531525978
qr_haar,14,31,6.2713947417753495
qr_haar,15,0,0.008285813977131094
qr_haar,15,1,0.144205470356595
qr_haar,15,2,0.33818657567161553
qr_haar,15,3,0.5210096279570812
qr_haar,15,4,0.5902571563521566
qr_haar,15,5,0.9923246319478917
qr_haar,15,6,1.1559906987275088
qr_haar,15,7,1.3868119443500888
qr_haar,15,8,1.585187852471989
qr_haar,15,9,1.6786023614985195
qr_haar,15,10,1.8581793859010436
qr_haar,15,11,2.192920967762481
qr_haar,15,12,2.5414077690695698
qr_haar,15,13,2.638182332040783
qr_haar,15,14,2.8632666837694174
qr_haar,15,15,3.0521703695840374
qr_haar,15,16,3.336893002114799
qr_haar,15,17,3.456658410429477
qr_haar,15,18,3.652416351292812
qr_haar,15,19,3.7923625282770814
qr_haar,15,20,3.9638443088482966
qr_haar,15,21,4.252448108376908
qr_haar,15,22,4.440046236048872
qr_haar,15,23,4.695963238464639
qr_haar,15,24,4.899088482125997
qr_haar,15,25,4.983810137568206
qr_haar,15,26,5.233840552755374
