state_index_1_based,graph_E_probability,graph_F_probability
289,2.77158653765416e-10,5.009005900665725e-09
290,2.1852725808078076e-07,1.726070638307221e-07
291,9.55590695468457e-12,8.238678850172748e-10
292,3.318729540319635e-09,3.1921754901168136e-09
293,5.9832329574262e-09,9.44282280983849e-10
294,3.398553992330767e-11,1.79556804219812e-09
295,9.130072261690624e-12,6.176611587953449e-09
296,4.109443253097184e-09,1.0289258313847038e-08
297,4.863755299477284e-12,4.4717341224886105e-12
298,2.3077902263108992e-07,4.494968519715412e-06
299,1.0877410212151803e-06,1.1296836208679102e-06
300,2.1168558644134073e-05,1.6037763923576373e-05
301,5.875642249495823e-06,1.2186289743842873e-05
302,1.3017802162403743e-05,4.6819137325333095e-07
303,0.00012641510335617123,0.0900054844912656
304,2.858624690064602e-08,3.343150386810386e-09
305,1.7720567343242687e-07,4.361734099499343e-09
306,1.5499021633500473e-08,3.4518113508326693e-10
307,6.55079493354852e-06,1.4941984965016315e-05
308,2.1852725808084696e-07,1.7260706383036222e-07
309,0.06467487790567142,0.09553650823948387
310,6.760452168524882e-08,2.4161047969160556e-06
311,5.9832329574298615e-09,2.601515603459204e-10
312,2.35269836332988e-08,0.061565851717518445
313,3.923949313173209e-08,1.568671307774666e-07
314,4.1094432530973385e-09,5.793821639687427e-09
315,9.030722963122574e-05,3.3280151566049493e-06
316,1.1180458733505236e-07,4.079169698999175e-09
317,3.213681260932511e-08,3.503863137268744e-10
318,7.403333110586423e-10,1.5764020811264513e-09
319,2.1525685745338257e-08,4.222477207686356e-08
320,2.7598946037427865e-08,1.0953455556724349e-09
321,8.756974167816679e-09,1.0700624698023459e-06
322,4.772080925457064e-11,7.964736156048185e-11
323,4.168410416225667e-11,1.2488065061577782e-09
324,4.737449764751701e-13,7.584524119179345e-13
325,1.3189711194133239e-09,7.589652964641464e-10
326,6.072172017019098e-10,2.025261012707188e-09
327,2.3591610345883808e-08,1.9887562828111937e-08
328,2.4680690266815195e-09,1.04622816660948e-08
329,5.4000553259822706e-12,6.010064141044021e-11
330,8.168902514985572e-09,3.9310815404674206e-07
331,1.0144024906042422e-10,4.2295981559921555e-08
332,5.977639152602807e-10,2.0618527503614886e-07
333,5.64823675230315e-08,2.2535839776140032e-09
334,4.0756835221954086e-09,8.651229981746587e-10
335,2.574270425586675e-13,7.887021253275126e-11
336,5.460485628399245e-09,1.587154255234813e-09
337,5.251549369547011e-13,2.5556015483981125e-11
338,6.55650823761007e-15,6.308009001967394e-14
339,1.5361610204366542e-11,4.7255860046301956e-09
340,4.000461101567936e-09,8.977035992802445e-09
341,3.999105512379272e-12,1.5996492243921795e-11
342,5.7400388152128734e-08,4.861537330773019e-11
343,2.771586537633115e-10,4.451872738510075e-08
344,3.3187295403134003e-09,4.681913732534301e-07
345,9.130072261791099e-12,7.08524120639204e-10
346,2.1852725808096303e-07,1.4730589759990852e-07
347,5.983232957417162e-09,4.270898366337044e-10
348,4.109443253098772e-09,1.3470837419069882e-09
349,9.555906954788476e-12,6.258415193246508e-10
350,3.398553992304525e-11,6.510521843525018e-10
351,4.863755299486639e-12,3.594828861700736e-14
352,1.1385908024510063e-11,3.5791089845305326e-12
353,2.574270425597663e-13,7.248179972611069e-11
354,3.4321329258837684e-13,3.082253684305503e-11
355,2.5742704255621263e-13,1.136417905808389e-12
356,6.5565082374479325e-15,6.308009001969304e-14
357,3.999105512354344e-12,6.236563106722733e-11
358,3.4321329259389785e-13,4.6625676435714534e-11
359,3.999105512356378e-12,3.9302233683437456e-10
360,2.1711349058694904e-09,2.4152145288554066e-11
361,2.6773764927397613e-13,5.6506455191803495e-15
362,1.4651469244481056e-16,1.1318945761890602e-15
363,1.714991732666093e-12,1.162042776861903e-12
364,1.4651469244713052e-16,3.3913565876673886e-16
365,2.665070437169417e-19,1.0008008636178139e-17
366,1.8603140029570827e-15,4.247412580655251e-14
367,1.7149917326661107e-12,8.335368228345813e-12
368,1.860314003015186e-15,3.5182662312931155e-13
369,2.927536953867741e-11,3.140381245378076e-14
370,2.683984035468037e-08,1.67819459421671e-09
371,1.812270469862602e-11,2.6015156034292364e-10
372,3.151083092506078e-10,2.4771976603800022e-11
373,1.8122704698629018e-11,3.8386408157099263e-11
374,2.9660828133891874e-13,1.4670722587716898e-11
375,6.805867324243367e-13,1.3218155889675737e-11
376,3.1510830925046355e-10,1.999946410654741e-11
377,6.805867324280679e-13,6.944129916991776e-11
378,5.616916159508188e-13,5.593954931431394e-13
379,7.184242248897589e-09,8.315436923885666e-09
