series_id,time_kappa,sz_over_N,generated_N,paper_series_N,parameter_match
finite_N_8,30.800000000000001,-0.040828674627578304,8,"40,80,160",reduced_scale
finite_N_8,30.900000000000002,-0.040827067682854531,8,"40,80,160",reduced_scale
finite_N_8,31,-0.040825540274025296,8,"40,80,160",reduced_scale
finite_N_8,31.100000000000001,-0.040824107268556703,8,"40,80,160",reduced_scale
finite_N_8,31.200000000000003,-0.040822781361249214,8,"40,80,160",reduced_scale
finite_N_8,31.300000000000001,-0.040821573046472999,8,"40,80,160",reduced_scale
finite_N_8,31.400000000000002,-0.040820490620843045,8,"40,80,160",reduced_scale
finite_N_8,31.5,-0.040819540214368642,8,"40,80,160",reduced_scale
finite_N_8,31.600000000000001,-0.040818725847867755,8,"40,80,160",reduced_scale
finite_N_8,31.700000000000003,-0.040818049514232839,8,"40,80,160",reduced_scale
finite_N_8,31.800000000000001,-0.040817511280977242,8,"40,80,160",reduced_scale
finite_N_8,31.900000000000002,-0.040817109411377922,8,"40,80,160",reduced_scale
finite_N_8,32,-0.040816840501455606,8,"40,80,160",reduced_scale
finite_N_8,32.100000000000001,-0.04081669963000438,8,"40,80,160",reduced_scale
finite_N_8,32.200000000000003,-0.040816680518887961,8,"40,80,160",reduced_scale
finite_N_8,32.300000000000004,-0.040816775700862867,8,"40,80,160",reduced_scale
finite_N_8,32.399999999999999,-0.040816976692263765,8,"40,80,160",reduced_scale
finite_N_8,32.5,-0.040817274167992676,8,"40,80,160",reduced_scale
finite_N_8,32.600000000000001,-0.040817658136384917,8,"40,80,160",reduced_scale
finite_N_8,32.700000000000003,-0.04081811811168063,8,"40,80,160",reduced_scale
finite_N_8,32.800000000000004,-0.04081864328200558,8,"40,80,160",reduced_scale
finite_N_8,32.899999999999999,-0.040819222670956799,8,"40,80,160",reduced_scale
finite_N_8,33,-0.040819845291091721,8,"40,80,160",reduced_scale
finite_N_8,33.100000000000001,-0.040820500287833947,8,"40,80,160",reduced_scale
finite_N_8,33.200000000000003,-0.040821177072527373,8,"40,80,160",reduced_scale
finite_N_8,33.300000000000004,-0.040821865443591634,8,"40,80,160",reduced_scale
finite_N_8,33.399999999999999,-0.040822555694954729,8,"40,80,160",reduced_scale
finite_N_8,33.5,-0.040823238711155133,8,"40,80,160",reduced_scale
finite_N_8,33.600000000000001,-0.040823906048719119,8,"40,80,160",reduced_scale
finite_N_8,33.700000000000003,-0.040824550003622409,8,"40,80,160",reduced_scale
finite_N_8,33.800000000000004,-0.040825163664838585,8,"40,80,160",reduced_scale
finite_N_8,33.899999999999999,-0.040825740954158425,8,"40,80,160",reduced_scale
finite_N_8,34,-0.040826276652630826,8,"40,80,160",reduced_scale
finite_N_8,34.100000000000001,-0.040826766414129245,8,"40,80,160",reduced_scale
finite_N_8,34.200000000000003,-0.04082720676668164,8,"40,80,160",reduced_scale
finite_N_8,34.300000000000004,-0.040827595102323505,8,"40,80,160",reduced_scale
finite_N_8,34.399999999999999,-0.040827929656332335,8,"40,80,160",reduced_scale
finite_N_8,34.5,-0.040828209476787745,8,"40,80,160",reduced_scale
finite_N_8,34.600000000000001,-0.040828434385467446,8,"40,80,160",reduced_scale
finite_N_8,34.700000000000003,-0.040828604931136367,8,"40,80,160",reduced_scale
finite_N_8,34.800000000000004,-0.0408287223363221,8,"40,80,160",reduced_scale
finite_N_8,34.899999999999999,-0.040828788438680833,8,"40,80,160",reduced_scale
finite_N_8,35,-0.040828805628062625,8,"40,80,160",reduced_scale
finite_N_8,35.100000000000001,-0.040828776780367802,8,"40,80,160",reduced_scale
finite_N_8,35.200000000000003,-0.040828705189260156,8,"40,80,160",reduced_scale
finite_N_8,35.300000000000004,-0.040828594496763251,8,"40,80,160",reduced_scale
finite_N_8,35.399999999999999,-0.040828448623714306,8,"40,80,160",reduced_scale
finite_N_8,35.5,-0.040828271700992111,8,"40,80,160",reduced_scale
finite_N_8,35.600000000000001,-0.040828068002365658,8,"40,80,160",reduced_scale
finite_N_8,35.700000000000003,-0.04082784187973576,8,"40,80,160",reduced_scale
finite_N_8,35.800000000000004,-0.040827597701463048,8,"40,80,160",reduced_scale
finite_N_8,35.899999999999999,-0.040827339794389503,8,"40,80,160",reduced_scale
finite_N_8,36,-0.040827072390075436,8,"40,80,160",reduced_scale
finite_N_8,36.100000000000001,-0.040826799575685899,8,"40,80,160",reduced_scale
finite_N_8,36.200000000000003,-0.040826525249871445,8,"40,80,160",reduced_scale
finite_N_8,36.300000000000004,-0.040826253083901982,8,"40,80,160",reduced_scale
finite_N_8,36.399999999999999,-0.040825986488227495,8,"40,80,160",reduced_scale
finite_N_8,36.5,-0.040825728584557276,8,"40,80,160",reduced_scale
finite_N_8,36.600000000000001,-0.040825482183471914,8,"40,80,160",reduced_scale
