frequency_mhz,intensity
-18.599999999999998,1.2585745420365787e-17
-18.549999999999997,1.0041335688906872e-17
-18.5,8.166193924138461e-18
-18.45,6.84053329113094e-18
-18.4,5.9796657914282e-18
-18.349999999999998,5.528895753401937e-18
-18.299999999999997,5.460243430231677e-18
-18.25,5.770814743625313e-18
-18.2,6.4827286544758666e-18
-18.15,7.644604647967968e-18
-18.099999999999998,9.334704361830916e-18
-18.049999999999997,1.1665918483399239e-17
-18.0,1.479289801944465e-17
-17.949999999999996,1.8921753803355538e-17
-17.9,2.4322896422186647e-17
-17.85,3.134776861112769e-17
-17.799999999999997,4.0450443177382617e-17
-17.75,5.221533336823048e-17
-17.699999999999996,6.739260363508183e-17
-17.65,8.694329466286288e-17
-17.6,1.1209670922476596e-16
-17.549999999999997,1.4442327201087677e-16
-17.5,1.8592691069262997e-16
-17.449999999999996,2.3916204881122404e-16
-17.4,3.0738160527706524e-16
-17.35,3.94724024318397e-16
-17.299999999999997,5.06449392790256e-16
-17.25,6.49237236735141e-16
-17.199999999999996,8.315617468776827e-16
-17.15,1.0641641125272847e-15
-17.1,1.3606465290612973e-15
-17.049999999999997,1.7382185122228638e-15
-17.0,2.2186336814650007e-15
-16.949999999999996,2.8293645068047787e-15
-16.9,3.605074069283516e-15
-16.85,4.589458179356736e-15
-16.799999999999997,5.837548861365019e-15
-16.75,7.41859201772406e-15
-16.699999999999996,9.41963897718857e-15
-16.65,1.1950024759416018e-14
-16.6,1.5146946657915234e-14
-16.549999999999997,1.9182406866518376e-14
-16.5,2.4271844433103266e-14
