n_sites,mechanism,rate,eta_pilot_mean,pilot_samples
4,dephasing,2.7825594022071227,0.8860480528832472,5
4,dephasing,3.593813663804626,0.8894126090441523,5
4,dephasing,4.6415888336127775,0.8912723407691725,5
4,dephasing,5.994842503189409,0.8916931574750736,5
4,dephasing,7.742636826811269,0.8906201593875821,5
4,dephasing,10.0,0.8878869903093991,5
5,rescue,0.001,0.30709568232459483,5
5,rescue,0.0021544346900318843,0.3222915388671725,5
5,rescue,0.004641588833612777,0.353840579961241,5
5,rescue,0.01,0.41662497305515844,5
5,rescue,0.021544346900318832,0.530824620520874,5
5,rescue,0.046415888336127774,0.7030225061387199,5
5,rescue,0.1,0.8813740818292299,5
5,rescue,0.21544346900318823,0.9748082620811799,5
5,rescue,0.46415888336127775,0.9941758200802869,5
5,rescue,1.0,0.9973579341213847,5
5,rescue,2.154434690031882,0.9985652319946281,5
5,rescue,4.6415888336127775,0.9995026229640185,5
5,rescue,5.274997063702617,0.9996188351636652,5
5,rescue,5.994842503189409,0.9997163298753575,5
5,rescue,6.812920690579611,0.9997946248400623,5
5,rescue,7.742636826811269,0.9998547715279564,5
5,rescue,8.79922543569107,0.9998990473043167,5
5,rescue,10.0,0.9999304173215746,5
5,dephasing,0.001,0.2965664381193272,5
5,dephasing,0.0021544346900318843,0.2999151602115411,5
5,dephasing,0.004641588833612777,0.3070249827211083,5
5,dephasing,0.01,0.32187037274747965,5
5,dephasing,0.021544346900318832,0.35179509599705394,5
5,dephasing,0.046415888336127774,0.40789608356807944,5
5,dephasing,0.1,0.4991976004842316,5
5,dephasing,0.21544346900318823,0.6155259158898867,5
5,dephasing,0.46415888336127775,0.7216952268180663,5
5,dephasing,1.0,0.7921892475951299,5
5,dephasing,2.154434690031882,0.8291194528776107,5
5,dephasing,2.7825594022071227,0.8359399214574174,5
5,dephasing,3.593813663804626,0.8406483292875526,5
5,dephasing,4.6415888336127775,0.8435060064283482,5
5,dephasing,5.994842503189409,0.8446598946475621,5
5,dephasing,7.742636826811269,0.8441251163121903,5
5,dephasing,10.0,0.8417856159871656,5
6,rescue,0.001,0.2483461898656806,5
6,rescue,0.0021544346900318843,0.2654872278818136,5
6,rescue,0.004641588833612777,0.30103966893570444,5
6,rescue,0.01,0.37163998478782767,5
6,rescue,0.021544346900318832,0.4994595182818669,5
6,rescue,0.046415888336127774,0.690222895695874,5
6,rescue,0.1,0.883232691829512,5
6,rescue,0.21544346900318823,0.9787015904101605,5
6,rescue,0.46415888336127775,0.9955659665293342,5
6,rescue,1.0,0.9977302373621159,5
6,rescue,2.154434690031882,0.9985987171948605,5
6,rescue,4.6415888336127775,0.9994239854818258,5
6,rescue,5.274997063702617,0.9995446691908938,5
6,rescue,5.994842503189409,0.9996511320450188,5
6,rescue,6.812920690579611,0.99974088759013,5
6,rescue,7.742636826811269,0.9998130190807242,5
6,rescue,8.79922543569107,0.9998682677693704,5
6,rescue,10.0,0.9999087105443198,5
6,dephasing,0.001,0.2356087628159206,5
6,dephasing,0.0021544346900318843,0.23841538354974726,5
6,dephasing,0.004641588833612777,0.2443876742867625,5
6,dephasing,0.01,0.25691819930443965,5
6,dephasing,0.021544346900318832,0.28243757263443836,5
6,dephasing,0.046415888336127774,0.3313203004693578,5
6,dephasing,0.1,0.41437947218422105,5
6,dephasing,0.21544346900318823,0.528674519965701,5
6,dephasing,0.46415888336127775,0.6446543925256047,5
6,dephasing,1.0,0.7292937288392352,5
6,dephasing,2.154434690031882,0.776226279874274,5
6,dephasing,4.6415888336127775,0.7959149104509107,5
6,dephasing,5.274997063702617,0.7972600086720846,5
6,dephasing,5.994842503189409,0.7981201617065896,5
